Position in z [m],Voltage [V]
0.0290763,0.245358
0.0290763,0.248963
0.0290763,0.248963
0.0290771,0.248963
0.0290771,0.246868
0.0290771,0.249476
0.0290771,0.252568
0.0290779,0.24508
0.0290779,0.245717
0.0290783,0.248963
0.0290787,0.248963
0.0290795,0.250904
0.0290795,0.247659
0.0290795,0.243776
0.0290795,0.248963
0.0290803,0.245717
0.0290803,0.241044
0.0290811,0.243776
0.0290811,0.23974
0.0290811,0.243776
0.0290819,0.251417
0.0290819,0.248963
0.0290828,0.240531
0.0290836,0.243776
0.0290836,0.243776
0.0290836,0.242625
0.0290844,0.248963
0.0290848,0.245358
0.0290852,0.243776
0.0290852,0.242472
0.029086,0.24623
0.029086,0.247021
0.029086,0.243776
0.0290868,0.246508
0.0290876,0.248963
0.0290876,0.248963
0.0290876,0.247021
0.0290876,0.244567
0.0290884,0.244927
0.0290888,0.242472
0.0290892,0.247381
0.0290892,0.247381
0.02909,0.248172
0.02909,0.247021
0.02909,0.248172
0.0290908,0.245717
0.0290917,0.245358
0.0290917,0.240531
0.0290925,0.242985
0.0290925,0.245358
0.0290925,0.243776
0.0290933,0.242625
0.0290941,0.243776
0.0290941,0.243776
0.0290949,0.247812
0.0290949,0.237285
0.0290957,0.245717
0.0290957,0.248963
0.0290965,0.248963
0.0290965,0.248172
0.0290965,0.24623
0.0290973,0.244567
0.0290981,0.246508
0.0290981,0.248172
0.0290989,0.246508
0.0290989,0.242472
0.0290989,0.239893
0.0291006,0.244567
0.0291006,0.243776
0.0291006,0.244567
0.0291006,0.251417
0.0291013,0.247021
0.0291013,0.248172
0.0291022,0.244927
0.029103,0.243776
0.029103,0.248963
0.0291038,0.252999
0.0291038,0.247812
0.0291046,0.254149
0.0291054,0.248963
0.0291054,0.247659
0.0291054,0.248963
0.0291062,0.248963
0.0291062,0.252999
0.029107,0.251417
0.029107,0.241834
0.0291078,0.247812
0.0291078,0.241681
0.0291086,0.24508
0.0291094,0.238589
0.0291094,0.240531
0.0291094,0.242985
0.0291102,0.243776
0.0291102,0.248963
0.0291111,0.242625
0.0291119,0.243776
0.0291119,0.241321
0.0291119,0.238589
0.0291126,0.242985
0.0291131,0.240531
0.0291135,0.241321
0.0291143,0.248963
0.0291143,0.247381
0.0291143,0.250544
0.0291151,0.248172
0.0291159,0.245871
0.0291159,0.247812
0.0291167,0.246508
0.0291167,0.243776
0.0291175,0.244927
0.0291179,0.243776
0.0291183,0.243776
0.0291183,0.242985
0.0291191,0.248963
0.0291191,0.248963
0.0291203,0.244567
0.0291207,0.248963
0.0291207,0.242985
0.0291207,0.252846
0.0291215,0.241044
0.0291215,0.248963
0.029122,0.245358
0.0291232,0.244927
0.0291232,0.243776
0.0291232,0.243776
0.0291239,0.243776
0.0291239,0.244927
0.0291256,0.241044
0.0291256,0.244567
0.0291256,0.241044
0.0291268,0.246508
0.0291268,0.247812
0.0291272,0.24623
0.029128,0.245717
0.029128,0.242472
0.029128,0.245717
0.0291292,0.24508
0.0291296,0.244927
0.0291296,0.247812
0.0291304,0.24508
0.0291304,0.242985
0.0291308,0.242625
0.029132,0.242985
0.029132,0.245717
0.029132,0.248963
0.0291328,0.248963
0.0291328,0.251057
0.029134,0.23974
0.0291345,0.244567
0.0291345,0.246508
0.0291353,0.244927
0.0291353,0.238589
0.0291357,0.241044
0.0291369,0.242472
0.0291369,0.243776
0.0291369,0.247381
0.0291381,0.242985
0.0291377,0.244136
0.0291385,0.23974
0.0291393,0.248963
0.0291393,0.247021
0.0291401,0.248963
0.0291401,0.242194
0.0291409,0.241044
0.0291417,0.242985
0.0291417,0.238589
0.0291417,0.242985
0.0291425,0.241475
0.0291434,0.245717
0.0291434,0.248963
0.0291441,0.248963
0.0291441,0.248963
0.0291453,0.248963
0.0291458,0.243776
0.0291458,0.243776
0.0291466,0.243776
0.0291466,0.243776
0.0291473,0.252999
0.029149,0.247659
0.0291498,0.24508
0.0291505,0.247659
0.0291513,0.250904
0.0291521,0.243776
0.0291533,0.247381
0.0291541,0.245717
0.0291545,0.243776
0.0291553,0.244567
0.0291553,0.248172
0.0291561,0.248963
0.0291569,0.24845
0.0291573,0.243776
0.0291585,0.245717
0.0291593,0.247021
0.0291593,0.24623
0.0291601,0.243776
0.0291605,0.250113
0.0291613,0.248963
0.0291617,0.250904
0.0291625,0.247812
0.0291633,0.244927
0.0291633,0.246508
0.0291645,0.238589
0.0291645,0.241834
0.0291657,0.241321
0.0291665,0.238589
0.0291665,0.243776
0.0291677,0.242985
0.0291677,0.249753
0.0291685,0.244927
0.0291689,0.24623
0.0291697,0.249753
0.0291701,0.245358
0.0291709,0.238589
0.0291717,0.24508
0.0291721,0.243776
0.0291729,0.243776
0.0291729,0.240531
0.0291741,0.254149
0.0291741,0.248963
0.0291749,0.252999
0.0291761,0.249753
0.0291761,0.245717
0.0291773,0.242472
0.0291773,0.243776
0.0291781,0.248963
0.0291786,0.243776
0.0291793,0.246868
0.0291798,0.242625
0.0291806,0.243776
0.0291806,0.248963
0.0291813,0.254149
0.0291818,0.245871
0.029183,0.247021
0.029183,0.247021
0.0291838,0.243776
0.0291838,0.247659
0.029185,0.248963
0.029185,0.24623
0.0291862,0.248963
0.0291862,0.248172
0.029187,0.248963
0.0291874,0.244927
0.0291886,0.243776
0.0291894,0.243776
0.0291894,0.247381
0.0291902,0.243776
0.029191,0.251417
0.0291914,0.251695
0.0291926,0.24623
0.0291934,0.243776
0.0291934,0.246508
0.0291942,0.248963
0.0291954,0.248963
0.0291954,0.248172
0.0291962,0.248963
0.0291974,0.243776
0.0291974,0.246508
0.0291982,0.248963
0.0291994,0.243498
0.0291994,0.244567
0.0292006,0.244567
0.0292014,0.242625
0.0292014,0.243776
0.0292021,0.24623
0.0292026,0.242472
0.0292038,0.244567
0.0292038,0.243776
0.0292046,0.243776
0.0292053,0.244927
0.0292058,0.248963
0.029207,0.246508
0.029207,0.248963
0.0292078,0.242985
0.0292086,0.248963
0.0292086,0.243776
0.0292098,0.246508
0.0292102,0.243776
0.029211,0.243776
0.029211,0.243776
0.0292118,0.24623
0.029213,0.248963
0.0292134,0.244567
0.0292134,0.244567
0.0292142,0.254149
0.0292142,0.252846
0.0292154,0.248963
0.0292158,0.248963
0.0292166,0.248172
0.0292166,0.252568
0.0292174,0.252999
0.0292186,0.252208
0.029219,0.246868
0.0292198,0.242194
0.0292198,0.244927
0.0292206,0.248963
0.0292206,0.244567
0.0292218,0.248963
0.029223,0.250113
0.029223,0.24623
0.0292238,0.248963
0.0292238,0.242985
0.029225,0.24623
0.0292254,0.247381
0.0292262,0.244927
0.0292262,0.248963
0.029227,0.248963
0.0292278,0.249753
0.0292286,0.250113
0.0292286,0.251417
0.0292298,0.250113
0.0292303,0.249753
0.029231,0.250904
0.029231,0.252846
0.0292318,0.247812
0.0292318,0.245358
0.0292335,0.250544
0.0292335,0.244927
0.0292342,0.243776
0.029235,0.250113
0.029235,0.244567
0.0292367,0.244567
0.0292367,0.253872
0.0292375,0.252208
0.0292382,0.254662
0.0292382,0.254149
0.0292399,0.248963
0.0292399,0.244567
0.0292411,0.254149
0.0292411,0.250113
0.0292427,0.248963
0.0292427,0.247021
0.0292435,0.24508
0.0292439,0.248963
0.0292451,0.254149
0.0292451,0.247381
0.0292459,0.248963
0.0292468,0.248963
0.0292468,0.248172
0.0292475,0.252055
0.029248,0.248963
0.0292492,0.252846
0.0292492,0.254149
0.02925,0.250266
0.0292504,0.252208
0.0292516,0.254149
0.0292516,0.254149
0.0292524,0.254149
0.0292528,0.254149
0.029254,0.248963
0.0292548,0.254149
0.0292556,0.243776
0.0292564,0.253359
0.0292564,0.254149
0.029258,0.252999
0.0292588,0.256882
0.0292588,0.257395
0.0292596,0.254149
0.0292596,0.259336
0.0292608,0.258185
0.029262,0.260127
0.029262,0.259336
0.0292628,0.263372
0.0292628,0.260487
0.0292644,0.266186
0.0292652,0.263372
0.0292652,0.261791
0.029266,0.260487
0.029266,0.260127
0.0292676,0.256882
0.0292676,0.258545
0.0292684,0.264523
0.0292684,0.265314
0.0292696,0.266464
0.02927,0.27086
0.0292708,0.264523
0.0292717,0.268406
0.0292724,0.268406
0.0292732,0.26971
0.0292732,0.273746
0.0292749,0.26971
0.0292749,0.281387
0.0292757,0.282968
0.0292757,0.287211
0.0292769,0.280361
0.0292781,0.289306
0.0292781,0.290456
0.0292789,0.298098
0.0292796,0.296794
0.0292801,0.30083
0.0292813,0.304435
0.0292813,0.313658
0.0292821,0.31639
0.0292833,0.321577
0.0292833,0.322727
0.0292845,0.322727
0.0292845,0.335986
0.0292857,0.344778
0.0292865,0.346207
0.0292869,0.351906
0.0292877,0.364221
0.0292881,0.376536
0.0292889,0.391459
0.0292893,0.406146
0.0292901,0.419334
0.0292909,0.440871
0.0292917,0.462769
0.0292925,0.497134
0.0292934,0.523859
0.0292941,0.549793
0.0292941,0.589345
0.0292949,0.621103
0.0292958,0.669087
0.0292966,0.728873
0.0292966,0.785136
0.0292974,0.86345
0.0292981,0.959544
0.029299,1.05017
0.0292998,1.13993
0.0293006,1.2456
0.0293006,1.34582
0.0293022,1.45034
0.0293022,1.64938
0.0293034,2.40937
0.0293042,3.98274
0.029305,5.06743
0.0293062,5.20798
0.0293062,5.17635
0.0293074,5.0219
0.0293079,4.72756
0.0293087,4.36952
0.0293103,4.08714
0.0293103,4.038
0.0293115,4.00415
0.0293119,3.74727
0.0293131,3.5166
0.0293131,3.21577
0.0293139,2.90975
0.0293151,2.61165
0.0293155,2.35477
0.0293163,2.07239
0.0293175,1.83804
0.029318,1.6434
0.0293187,1.48859
0.0293199,1.3649
0.0293199,1.28761
0.0293207,1.22925
0.0293219,1.22795
0.0293224,1.18257
0.0293232,1.10232
0.0293239,1.13835
0.0293239,1.3291
0.0293251,1.52165
0.0293256,1.51698
0.0293264,1.72278
0.0293271,1.78099
0.0293276,1.75426
0.0293288,1.65341
0.0293296,1.63382
0.0293303,1.77516
0.0293308,2.00207
0.029332,2.08621
0.029332,2.3676
0.0293336,2.83829
0.0293344,2.60373
0.0293348,2.40937
0.029336,2.33402
0.0293368,2.38071
0.0293372,2.29253
0.029338,2.40822
0.0293384,2.6149
0.0293396,2.88152
0.0293404,3.55579
0.0293404,4.139
0.0293421,4.86515
0.0293429,5.14119
0.0293429,5.3112
0.0293441,5.31041
0.0293445,5.30847
0.0293453,5.31199
0.0293461,5.31041
0.0293468,5.31172
0.0293473,5.28123
0.0293485,4.91262
0.0293489,4.70796
0.0293497,5.3112
0.0293513,5.31041
0.0293522,5.31041
0.0293534,5.3112
0.0293538,5.08687
0.029355,4.42946
0.0293554,3.8291
0.0293562,3.361
0.029357,2.89031
0.0293578,2.48199
0.0293586,2.19082
0.0293594,1.97729
0.0293602,1.76867
0.029361,1.61941
0.029361,1.48146
0.0293622,1.38485
0.0293634,1.29747
0.0293634,1.22082
0.0293647,1.16052
0.0293659,1.10347
0.0293667,1.06379
0.0293667,1.04447
0.0293683,1.03216
0.0293691,0.997154
0.0293695,0.975104
0.0293707,0.939947
0.0293719,0.91805
0.0293719,0.909618
0.0293727,0.91805
0.0293735,0.917259
0.0293743,0.90249
0.0293751,0.882534
0.029376,0.850622
0.0293772,0.837004
0.0293776,0.834271
0.0293788,0.817561
0.0293796,0.799546
0.0293804,0.782044
0.0293813,0.782404
0.029382,0.774916
0.0293833,0.766053
0.0293837,0.762448
0.0293845,0.772822
0.0293849,0.778008
0.0293861,0.767635
0.0293861,0.770367
0.0293877,0.760147
0.0293877,0.741701
0.0293889,0.744947
0.0293894,0.763599
0.0293906,0.745584
0.029391,0.75984
0.0293922,0.746888
0.0293922,0.752075
0.0293934,0.750771
0.0293942,0.74012
0.0293946,0.737305
0.0293954,0.772822
0.0293962,0.783195
0.029397,0.776427
0.0293982,0.775554
0.0293987,0.796023
0.0293999,0.766484
0.0294003,0.757539
0.0294015,0.772822
0.0294027,0.768939
0.0294031,0.742852
0.0294035,0.731328
0.0294048,0.716918
0.0294052,0.699057
0.0294064,0.690625
0.0294068,0.689834
0.0294076,0.67831
0.0294084,0.674274
0.0294092,0.676215
0.0294092,0.6639
0.0294108,0.669087
0.0294116,0.65741
0.0294121,0.658714
0.0294137,0.653527
0.0294141,0.655468
0.0294157,0.653527
0.0294157,0.649131
0.0294169,0.63999
0.0294182,0.6639
0.0294186,0.674274
0.0294198,0.67982
0.0294206,0.674274
0.0294214,0.67831
0.0294218,0.676215
0.029423,0.681402
0.0294235,0.671542
0.0294247,0.665051
0.0294251,0.643944
0.0294259,0.643154
0.0294267,0.643154
0.0294279,0.627593
0.0294284,0.622407
0.0294296,0.626803
0.02943,0.61722
0.0294316,0.61722
0.029432,0.625499
0.0294332,0.622407
0.0294341,0.623988
0.0294349,0.620825
0.0294357,0.628744
0.0294369,0.622407
0.0294381,0.629535
0.0294385,0.627593
0.0294398,0.626012
0.0294402,0.613184
0.0294414,0.615278
0.0294418,0.607997
0.029443,0.61722
0.0294434,0.606846
0.0294451,0.614765
0.0294455,0.616429
0.0294467,0.628384
0.0294471,0.629535
0.0294483,0.628384
0.0294495,0.619674
0.02945,0.625652
0.0294512,0.622407
0.0294516,0.61722
0.0294528,0.610092
0.0294536,0.621256
0.0294544,0.630048
0.0294552,0.635388
0.0294556,0.631476
0.0294568,0.629535
0.0294573,0.609939
0.0294589,0.611242
0.0294601,0.60166
0.0294605,0.60166
0.0294621,0.591286
0.0294626,0.600078
0.029463,0.593741
0.0294646,0.584949
0.0294654,0.599205
0.0294662,0.60166
0.0294662,0.603601
0.0294675,0.607637
0.0294679,0.614128
0.0294691,0.602451
0.0294703,0.600869
0.0294707,0.591799
0.0294715,0.5861
0.0294723,0.574422
0.0294731,0.575726
0.0294736,0.579762
0.0294748,0.591286
0.0294748,0.580913
0.0294764,0.578458
0.0294764,0.574935
0.0294776,0.565353
0.0294788,0.575726
0.0294788,0.570539
0.0294804,0.575726
0.0294812,0.580913
0.0294821,0.590495
0.0294833,0.612033
0.0294845,0.606056
0.0294849,0.60166
0.0294865,0.60166
0.0294878,0.588041
0.029489,0.570539
0.0294906,0.565353
0.0294906,0.57703
0.0294918,0.577308
0.0294927,0.580122
0.0294935,0.574935
0.0294939,0.569389
0.0294951,0.560166
0.0294955,0.560166
0.0294967,0.554979
0.0294972,0.560166
0.0294984,0.558862
0.0294988,0.560166
0.0295,0.560166
0.0295004,0.55577
0.029502,0.55577
0.029502,0.569236
0.0295032,0.562261
0.0295037,0.569749
0.0295049,0.56262
0.0295053,0.554188
0.0295065,0.552525
0.0295081,0.554979
0.0295081,0.550943
0.0295098,0.560166
0.0295102,0.554188
0.0295114,0.556561
